assetid,schemename,schemecode,assetname,classofasset,sanctiondate,wage,semiskilled,skilled,material,contingency,total,mandays
32008041853,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2667485,3201009002/IF/IAY/4636415,IF,Constr of PMAY-G House for Individuals,19-12-2020,19470,0,0,0,0  ,19470,
32008039122,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2192522,3201009002/IF/IAY/4116817,IF,Constr of PMAY-G House for Individuals,26-06-2020,19320,0,0,0,0  ,19320,
32008041847,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4516208,3201009002/IF/IAY/4637064,IF,Constr of PMAY-G House for Individuals,29-12-2020,19620,0,0,0,0  ,19620,
32008041854,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4918712,3201009002/IF/IAY/4637065,IF,Constr of PMAY-G House for Individuals,29-12-2020,19620,0,0,0,0  ,19620,
32008041788,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5342175,3201009002/IF/IAY/4508119,IF,Constr of PMAY-G House for Individuals,01-12-2020,19620,0,0,0,0  ,19620,
32008041861,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2746555,3201009002/IF/IAY/4636416,IF,Constr of PMAY-G House for Individuals,19-12-2020,19320,0,0,0,0  ,19320,
32008041846,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1969245,3201009002/IF/IAY/4636414,IF,Constr of PMAY-G House for Individuals,19-12-2020,19620,0,0,0,0  ,19620,
32008041871,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5296881,3201009002/IF/IAY/4637067,IF,Constr of PMAY-G House for Individuals,29-12-2020,19620,0,0,0,0  ,19620,
32007856538,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3857550,3201009002/IF/IAY/3244458,IF,Constr of PMAY-G House for Individuals,28-11-2019,17190,0,0,0,0  ,17190,
32008041990,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2320140,3201009002/IF/IAY/4637083,IF,Constr of PMAY-G House for Individuals,02-01-2021,19770,0,0,0,0  ,19770,
32008041982,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3804362,3201009002/IF/IAY/4637081,IF,Constr of PMAY-G House for Individuals,30-12-2020,19407,0,0,0,0  ,19407,
32007854827,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1921989,3201009002/IF/IAY/3244274,IF,Constr of PMAY-G House for Individuals,26-11-2019,17190,0,0,0,0  ,17190,
32008042025,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3441750,3201009002/IF/IAY/4636434,IF,Constr of PMAY-G House for Individuals,27-12-2020,19320,0,0,0,0  ,19320,
32008042060,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1014226,3201009002/IF/IAY/4637088,IF,Constr of PMAY-G House for Individuals,03-01-2021,19620,0,0,0,0  ,19620,
32008042077,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3480704,3201009002/IF/IAY/4636440,IF,Constr of PMAY-G House for Individuals,27-12-2020,19620,0,0,0,0  ,19620,
32008042001,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2718019,3201009002/IF/IAY/4637084,IF,Constr of PMAY-G House for Individuals,02-01-2021,19620,0,0,0,0  ,19620,
32008042039,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3443350,3201009002/IF/IAY/4636436,IF,Constr of PMAY-G House for Individuals,27-12-2020,19470,0,0,0,0  ,19470,
32008042136,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3664673,3201009002/IF/IAY/4636449,IF,Constr of PMAY-G House for Individuals,19-12-2020,19620,0,0,0,0  ,19620,
32008042225,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3829990,3201009002/IF/IAY/4636676,IF,Constr of PMAY-G House for Individuals,27-12-2020,19407,0,0,0,0  ,19407,
32008042086,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3576578,3201009002/IF/IAY/4636443,IF,Constr of PMAY-G House for Individuals,27-12-2020,19620,0,0,0,0  ,19620,
32008041951,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2761124,3201009002/IF/IAY/4636430,IF,Constr of PMAY-G House for Individuals,27-12-2020,19770,0,0,0,0  ,19770,
32008042318,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4604119,3201009002/IF/IAY/4636683,IF,Constr of PMAY-G House for Individuals,27-12-2020,19620,0,0,0,0  ,19620,
32008042141,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3793985,3201009002/IF/IAY/4636672,IF,Constr of PMAY-G House for Individuals,27-12-2020,19620,0,0,0,0  ,19620,
32008042348,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4803225,3201009002/IF/IAY/4636690,IF,Constr of PMAY-G House for Individuals,27-12-2020,19620,0,0,0,0  ,19620,
32008042298,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3924656,3201009002/IF/IAY/4636681,IF,Constr of PMAY-G House for Individuals,27-12-2020,19407,0,0,0,0  ,19407,
32008042344,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4800453,3201009002/IF/IAY/4636689,IF,Constr of PMAY-G House for Individuals,27-12-2020,19620,0,0,0,0  ,19620,
32008042360,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4924158,3201009002/IF/IAY/4636693,IF,Constr of PMAY-G House for Individuals,27-12-2020,19470,0,0,0,0  ,19470,
32008042379,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1546318,3201009002/IF/IAY/4636700,IF,Constr of PMAY-G House for Individuals,29-12-2020,19620,0,0,0,0  ,19620,
32008042430,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4601609,3201009002/IF/IAY/4637102,IF,Constr of PMAY-G House for Individuals,03-01-2021,19620,0,0,0,0  ,19620,
32008042329,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4777965,3201009002/IF/IAY/4636687,IF,Constr of PMAY-G House for Individuals,27-12-2020,19620,0,0,0,0  ,19620,
32008044463,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1630617,3201009002/IF/IAY/4637338,IF,Constr of PMAY-G House for Individuals,04-01-2021,19770,0,0,0,0  ,19770,
32008044484,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2677860,3201009002/IF/IAY/4637339,IF,Constr of PMAY-G House for Individuals,04-01-2021,19407,0,0,0,0  ,19407,
32008044542,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3485733,3201009002/IF/IAY/4637341,IF,Constr of PMAY-G House for Individuals,04-01-2021,19620,0,0,0,0  ,19620,
32008041928,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2749598,3201009002/IF/IAY/4636427,IF,Constr of PMAY-G House for Individuals,27-12-2020,19620,0,0,0,0  ,19620,
32008042416,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3632083,3201009002/IF/IAY/4636710,IF,Constr of PMAY-G House for Individuals,29-12-2020,19620,0,0,0,0  ,19620,
32008042401,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2771971,3201009002/IF/IAY/4636704,IF,Constr of PMAY-G House for Individuals,29-12-2020,19620,0,0,0,0  ,19620,
32008044685,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3718144,3201009002/IF/IAY/4637381,IF,Constr of PMAY-G House for Individuals,22-12-2020,19407,0,0,0,0  ,19407,
32008044665,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3644004,3201009002/IF/IAY/4637373,IF,Constr of PMAY-G House for Individuals,22-12-2020,19770,0,0,0,0  ,19770,
32008041975,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2927826,3201009002/IF/IAY/4636433,IF,Constr of PMAY-G House for Individuals,27-12-2020,19620,0,0,0,0  ,19620,
32008044716,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1483892,3201009002/IF/IAY/4637552,IF,Constr of PMAY-G House for Individuals,25-12-2020,19620,0,0,0,0  ,19620,
32008041881,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2986865,3201009002/IF/IAY/4636420,IF,Constr of PMAY-G House for Individuals,26-12-2020,19620,0,0,0,0  ,19620,
32008045238,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2938433,3201009002/IF/IAY/4637586,PMAY,Constr of PMAY-G House for Individuals,25-12-2020,19620,0,0,0,0  ,19620,
32008045183,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2938300,3201009002/IF/IAY/4637571,PMAY,Constr of PMAY-G House for Individuals,02-01-2021,19620,0,0,0,0  ,19620,
32008045262,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3669778,3201009002/IF/IAY/4637588,PMAY,Constr of PMAY-G House for Individuals,22-12-2020,19407,0,0,0,0  ,19407,
32008045523,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3649425,3201009002/IF/IAY/4637940,PMAY,Constr of PMAY-G House for Individuals,04-01-2021,19620,0,0,0,0  ,19620,
32008045552,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2778725,3201009002/IF/IAY/4646313,PMAY,Constr of PMAY-G House for Individuals,04-01-2021,19407,0,0,0,0  ,19407,
32008045519,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3643873,3201009002/IF/IAY/4637939,PMAY,Constr of PMAY-G House for Individuals,04-01-2021,19770,0,0,0,0  ,19770,
32008045510,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2418768,3201009002/IF/IAY/4637936,PMAY,Constr of PMAY-G House for Individuals,04-01-2021,19620,0,0,0,0  ,19620,
32008045620,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3581041,3201009002/IF/IAY/4659360,PMAY,Constr of PMAY-G House for Individuals,22-12-2020,19620,0,0,0,0  ,19620,
32008045332,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1585856,3201009002/IF/IAY/4637592,PMAY,Constr of PMAY-G House for Individuals,05-01-2021,19407,0,0,0,0  ,19407,
32008045633,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2122435,3201009002/IF/IAY/4724894,PMAY,Constr of PMAY-G House for Individuals,20-01-2021,19620,0,0,0,0  ,19620,
32008045579,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3485535,3201009002/IF/IAY/4646322,PMAY,Constr of PMAY-G House for Individuals,22-12-2020,19407,0,0,0,0  ,19407,
32008045642,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3947153,3201009002/IF/IAY/4724897,PMAY,Constr of PMAY-G House for Individuals,03-01-2021,19620,0,0,0,0  ,19620,
32008044644,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3551996,3201009002/IF/IAY/4637365,IF,Constr of PMAY-G House for Individuals,22-12-2020,19770,0,0,0,0  ,19770,
32008045629,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2831625,3201009002/IF/IAY/4659994,PMAY,Constr of PMAY-G House for Individuals,17-01-2021,19620,0,0,0,0  ,19620,
32008044572,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4941692,3201009002/IF/IAY/4637343,IF,Constr of PMAY-G House for Individuals,04-01-2021,19407,0,0,0,0  ,19407,
32008045613,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2786360,3201009002/IF/IAY/4652416,PMAY,Constr of PMAY-G House for Individuals,04-01-2021,19407,0,0,0,0  ,19407,
32008042438,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4767216,3201009002/IF/IAY/4637106,IF,Constr of PMAY-G House for Individuals,03-01-2021,19620,0,0,0,0  ,19620,
32008045610,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4922915,3201009002/IF/IAY/4652414,PMAY,Constr of PMAY-G House for Individuals,04-11-2020,19620,0,0,0,0  ,19620,
32008045565,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4935723,3201009002/IF/IAY/4646316,PMAY,Constr of PMAY-G House for Individuals,04-01-2021,19407,0,0,0,0  ,19407,
32008045595,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5634668,3201009002/IF/IAY/4646350,PMAY,Constr of PMAY-G House for Individuals,04-01-2021,19407,0,0,0,0  ,19407,
32008045604,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3447630,3201009002/IF/IAY/4646575,PMAY,Constr of PMAY-G House for Individuals,05-01-2021,19770,0,0,0,0  ,19770,
32008045571,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1290528,3201009002/IF/IAY/4646318,PMAY,Constr of PMAY-G House for Individuals,22-12-2020,19407,0,0,0,0  ,19407,
32008045646,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2783954,3201009002/IF/IAY/4724901,PMAY,Constr of PMAY-G House for Individuals,10-06-2020,19620,0,0,0,0  ,19620,
32008045636,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3280393,3201009002/IF/IAY/4724895,PMAY,Constr of PMAY-G House for Individuals,20-01-2021,19470,0,0,0,0  ,19470,
32008045583,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3485900,3201009002/IF/IAY/4646323,PMAY,Constr of PMAY-G House for Individuals,22-12-2020,19131,0,0,0,0  ,19131,
32008045548,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4147381,3201009002/IF/IAY/4646308,PMAY,Constr of PMAY-G House for Individuals,29-12-2020,19407,0,0,0,0  ,19407,
32008045538,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2772877,3201009002/IF/IAY/4646305,PMAY,Constr of PMAY-G House for Individuals,27-12-2020,19620,0,0,0,0  ,19620,
32008045529,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2780037,3201009002/IF/IAY/4637950,PMAY,Constr of PMAY-G House for Individuals,05-01-2021,19620,0,0,0,0  ,19620,
32008045516,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3621031,3201009002/IF/IAY/4637938,PMAY,Constr of PMAY-G House for Individuals,04-01-2021,19620,0,0,0,0  ,19620,
32008045531,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3473908,3201009002/IF/IAY/4637951,PMAY,Constr of PMAY-G House for Individuals,05-01-2021,19620,0,0,0,0  ,19620,
32008045338,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1509578,3201009002/IF/IAY/4637935,PMAY,Constr of PMAY-G House for Individuals,04-01-2021,19407,0,0,0,0  ,19407,
32008045512,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2597739,3201009002/IF/IAY/4637937,PMAY,Constr of PMAY-G House for Individuals,04-01-2021,19620,0,0,0,0  ,19620,
32008045276,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3613187,3201009002/IF/IAY/4637589,PMAY,Constr of PMAY-G House for Individuals,22-12-2020,19620,0,0,0,0  ,19620,
32008045545,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3576700,3201009002/IF/IAY/4646306,PMAY,Constr of PMAY-G House for Individuals,27-12-2020,19407,0,0,0,0  ,19407,
32008045249,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4251671,3201009002/IF/IAY/4637587,PAMY,Constr of PMAY-G House for Individuals,22-12-2020,19620,0,0,0,0  ,19620,
32008045228,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5652908,3201009002/IF/IAY/4637580,PMAY,Constr of PMAY-G House for Individuals,02-01-2021,19620,0,0,0,0  ,19620,
32008045321,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3613088,3201009002/IF/IAY/4637590,PMAY,Constr of PMAY-G House for Individuals,22-12-2020,19620,0,0,0,0  ,19620,
32008045221,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4949452,3201009002/IF/IAY/4637579,PMAY,Constr of PMAY-G House for Individuals,02-01-2021,19620,0,0,0,0  ,19620,
32008045211,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4943984,3201009002/IF/IAY/4637578,PMAY,Constr of PMAY-G House for Individuals,02-01-2021,19407,0,0,0,0  ,19407,
32008045573,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3398977,3201009002/IF/IAY/4646319,PMAY,Constr of PMAY-G House for Individuals,22-12-2020,19620,0,0,0,0  ,19620,
32008045193,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2938324,3201009002/IF/IAY/4637572,PMAY,Constr of PMAY-G House for Individuals,02-01-2021,19620,0,0,0,0  ,19620,
