scheme_code,completion_date,scheme_name,estimated_cost,estimated_material,expenditure_wage,expenditure_material,sanctiondate,wage_expense,semiskilled_expense,skilled_expense,material_expense,contingency_expense,total_expense,mandays
3214003009/WC/704010188841,30-04-2018,Re-Excavation of Malinda Ahari Goria ,190530,8481,165152,4992,09-09-2015,165152,0,4992,0,0  ,170144,
3214003009/WC/704010188852,30-04-2018,Re-Excavation of Naran Bandh ,141114,7176,142740,4176,08-07-2015,142740,0,4176,0,0  ,146916,
3214003009/WC/704010188761,30-04-2018,Re-Excvation of Chouka Bandh at Baragram ,745242,24924,748178,21754,19-02-2016,748178,0,21754,0,0  ,769932,
3214003009/WC/704010190243,30-05-2018,Re-Excavation of subhas Mahato Bandh ,286926,11352,279531,8327,16-10-2015,279531,0,8327,0,0  ,287858,
3214003009/WC/704010188755,16-07-2018,Re-Excavation of Mahdev Dhibar Goria ,92220,5610,97476,3150,27-11-2015,97476,3150,0,0,0  ,100626,
3214003009/WC/704010188752,30-04-2018,Re-Excavation of Gurupada Mahato Goria ,92220,5610,91176,2610,27-11-2015,91176,2610,0,0,0  ,93786,
3214003009/IF/22012034615694,19-05-2020,Excavation of Dipak Rajowar Happa ,375124,21814,227290,9376,02-11-2018,227290,0,6876,2500,0  ,236666,
3214003009/WC/704010188737,30-04-2018,Re-Excavation of Amla Bandh ,381756,14223,364356,10440,09-09-2015,364356,0,10440,0,0  ,374796,
3214003009/WC/704010186166,30-05-2018,Re-Excavation of Mudi Bandh ,381756,14223,390672,5742,03-02-2016,390672,0,5742,0,0  ,396414,
3214003009/WC/704010188736,30-05-2018,Re-Excavation of Subhas Mahato Bandh ,286926,11352,170720,5132,08-07-2015,170720,0,5132,0,0  ,175852,
3214003009/WC/704010163837,16-07-2018,RE-EXCAVATION OF NILKANTHA MAHATO BANDH ,189618,8577,189428,2432,28-05-2014,189428,0,2432,0,0  ,191860,
3214003009/WC/704010188743,30-04-2018,Re-Excavation of Jolhar Bandh ,381756,14223,379881,8342,16-10-2015,379881,0,8342,0,0  ,388223,
3214003009/IF/22012034611623,19-05-2020,Excavation of Subodh Sahis Happa ,187753,8444,164632,12511,28-02-2019,164632,3725,8786,0,0  ,177143,
3214003009/IF/22012034611620,19-05-2020,Excavation of Bahadur Mahato Happa ,189663,8444,203828,8654,25-09-2018,203828,0,6154,2500,0  ,212482,
3214003009/IF/22012034610652,19-05-2020, Excavation Aditya Mudi Happa ,189663,8444,172091,16920,13-12-2018,172091,10696,3724,2500,0  ,189011,
