scheme_code,completion_date,scheme_name,estimated_cost,estimated_material,expenditure_wage,expenditure_material,sanctiondate,wage_expense,semiskilled_expense,skilled_expense,material_expense,contingency_expense,total_expense,mandays
3214003009/IF/IAY/2078361,16-01-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4384119 ,18145,0,17190,0,20-01-2018,17190,0,0,0,0  ,17190,
3214003009/IF/IAY/2075733,16-01-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3977792 ,18145,0,17190,0,30-01-2018,17190,0,0,0,0  ,17190,
3214003009/IF/IAY/2078541,16-01-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1478091 ,18145,0,17190,0,20-01-2018,17190,0,0,0,0  ,17190,
3214003009/IF/IAY/2077011,16-01-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3428030 ,18145,0,17763,0,20-01-2018,17763,0,0,0,0  ,17763,
3214003009/IF/IAY/2074245,16-01-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5072925 ,18145,0,17763,0,20-01-2018,17763,0,0,0,0  ,17763,
3214003009/IF/IAY/2078163,16-01-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4209922 ,18145,0,17763,0,20-01-2018,17763,0,0,0,0  ,17763,
3214003009/IF/IAY/2073720,16-01-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5727288 ,18145,0,17763,0,20-01-2018,17763,0,0,0,0  ,17763,
3214003009/IF/IAY/2907932,07-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4553329 ,19380,0,18782,0,10-10-2019,18782,0,0,0,0  ,18782,
3214003009/IF/22012034555594,25-11-2019,EXCAVATION OF PADMOLOCHAN HAPPA AT MANGURIA V ,190260,8170,117900,3461,17-10-2017,117900,0,3461,0,0  ,121361,
3214003009/IF/22012034543034,04-07-2019,EXCAVATION OF ULLAS MAHATO HAPPA ,190260,8170,189360,1890,21-09-2017,189360,0,1890,0,0  ,191250,
3214003009/IF/22012034540396,04-07-2019,EXCAVATION OF ANIL KUMAR MAHATO HAPPA ,383760,13840,374732,5400,21-09-2017,374732,0,5400,0,0  ,380132,
3214003009/IF/22012034543025,04-07-2019,EXCAVATION OF RABIRANJAN MANDI HAPPA ,190260,8170,185760,5670,21-09-2017,185760,0,5670,0,0  ,191430,
3214003009/IF/IAY/2075470,16-01-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4063571 ,18145,0,17763,0,30-01-2018,17763,0,0,0,0  ,17763,
3214003009/LD/321002040747102,05-07-2019,LAND LEVELING SUPRAKAS MAHATO ,19008,992,17280,540,24-03-2017,17280,0,540,0,0  ,17820,
3214003009/LD/321002040740210,05-07-2019,Land Levelling Of Lalitmohon Mahato ,16920,3040,17100,0,18-09-2017,17100,0,0,0,0  ,17100,
3214003009/LD/321002040737633,12-12-2019,Land Levelling Of Chityaranjan Mahato ,16020,3040,11700,270,21-09-2017,11700,0,270,0,0  ,11970,
3214003009/LD/321002040737630,05-07-2019,Land Levelling Of Bhaktipada Sahis ,16920,3040,16560,378,19-06-2017,16560,0,378,0,0  ,16938,
3214003009/LD/321002040737627,05-07-2019,Land Levelling Of Gopal Ch Mahato ,16920,3040,34200,540,18-09-2017,34200,0,540,0,0  ,34740,
3214003009/IF/22012034550250,04-07-2019,EXCAVATION OF DURJODHAN SAREN HAPPA AT MANGURIA VII ,190260,8170,200160,6210,09-10-2017,200160,0,6210,0,0  ,206370,
3214003009/LD/321002040737629,05-07-2019,Land Levelling Of Bhiskshyakar  Mahato ,16920,3040,16200,432,19-06-2017,16200,0,432,0,0  ,16632,
3214003009/IF/IAY/2078769,16-01-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5391714 ,18145,0,17190,0,20-01-2018,17190,0,0,0,0  ,17190,
3214003009/LD/321002040737496,05-07-2019,Land Levelling Of Jagannath Paramanik ,16380,3040,12960,378,14-06-2017,12960,0,378,0,0  ,13338,
3214003009/IF/22012034610656,12-12-2019,Excavation ofDurgesh Mudi Hapa ,189663,8444,188707,18668,13-12-2018,188707,10696,5472,2500,0  ,207375,
3214003009/IF/IAY/2907914,21-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3603068 ,19380,0,18964,0,10-10-2019,18964,0,0,0,0  ,18964,
3214003009/IF/IAY/2907907,18-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3409429 ,19380,0,19146,0,10-10-2019,19146,0,0,0,0  ,19146,
3214003009/IF/IAY/2907895,27-05-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4528741 ,19380,0,18418,0,10-10-2019,18418,0,0,0,0  ,18418,
3214003009/IF/IAY/2907912,08-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4375162 ,19380,0,18782,0,10-10-2019,18782,0,0,0,0  ,18782,
3214003009/IF/IAY/2907878,28-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4426487 ,19380,0,18990,0,10-10-2019,18990,0,0,0,0  ,18990,
3214003009/IF/22012034413285,04-07-2019,Farmpond Of Sukumar Ray ,190260,8170,185760,5670,17-10-2017,185760,0,5670,0,0  ,191430,
3214003009/IF/IAY/2907868,19-06-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3835389 ,19380,0,18340,0,10-10-2019,18340,0,0,0,0  ,18340,
3214003009/IF/IAY/2907877,27-05-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5529210 ,19380,0,18340,0,10-10-2019,18340,0,0,0,0  ,18340,
3214003009/IF/IAY/2907854,19-05-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4482429 ,18145,0,18145,0,10-10-2019,18145,0,0,0,0  ,18145,
3214003009/IF/IAY/2069992,16-01-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5762710 ,18145,0,17763,0,30-01-2018,17763,0,0,0,0  ,17763,
3214003009/IF/IAY/2907841,22-05-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5042514 ,19380,0,18574,0,10-10-2019,18574,0,0,0,0  ,18574,
3214003009/IF/IAY/2066743,16-01-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5778915 ,18145,0,17763,0,20-01-2018,17763,0,0,0,0  ,17763,
3214003009/IF/IAY/2069088,16-01-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5491064 ,18145,0,17763,0,20-01-2018,17763,0,0,0,0  ,17763,
3214003009/IF/IAY/2061695,16-01-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5643980 ,18145,0,17763,0,20-01-2018,17763,0,0,0,0  ,17763,
3214003009/IF/IAY/2062994,16-01-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5644093 ,18145,0,17190,0,20-01-2018,17190,0,0,0,0  ,17190,
3214003009/LD/321002040737487,03-07-2019,Land Levelling Of Purnima Banerjee ,16920,3040,12600,378,16-06-2017,12600,0,378,0,0  ,12978,
3214003009/LD/321002040737491,05-07-2019,Land Levelling Of Bhuban Gorain ,16380,3040,18360,378,14-06-2017,18360,0,378,0,0  ,18738,
3214003009/LD/321002040737429,05-07-2019,Land Leveling Of Tapan Hansda ,16920,3040,27000,810,16-06-2017,27000,0,810,0,0  ,27810,
3214003009/LD/321002040737424,05-07-2019,Land Leveling Of Madanmohan Hembram ,21780,3040,24840,810,16-06-2017,24840,0,810,0,0  ,25650,
3214003009/IF/IAY/2907851,04-09-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2712566 ,19380,0,18964,0,10-10-2019,18964,0,0,0,0  ,18964,
3214003009/LD/321002040737328,03-07-2019,Land Leveling Of Ashok Mandal ,16920,3040,17100,540,18-09-2017,17100,0,540,0,0  ,17640,
3214003009/LD/321002040737425,05-07-2019,Land Leveling Of Shitala Hembram ,21780,3040,22500,675,16-06-2017,22500,0,675,0,0  ,23175,
3214003009/IF/IAY/2907859,19-06-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3603035 ,19380,0,18717,0,10-10-2019,18717,0,0,0,0  ,18717,
3214003009/LD/321002040737326,05-07-2019,Land Leveling Of Jiten Mandal ,16920,3040,16200,540,18-09-2017,16200,0,540,0,0  ,16740,
3214003009/IF/IAY/2907880,16-08-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3498020 ,19380,0,19172,0,10-10-2019,19172,0,0,0,0  ,19172,
3214003009/LD/321002040737325,03-07-2019,Land Leveling Of Anil Mudi ,16920,3040,15840,540,16-06-2017,15840,0,540,0,0  ,16380,
3214003009/IF/IAY/2907832,19-05-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3924340 ,19380,0,18730,0,10-10-2019,18730,0,0,0,0  ,18730,
3214003009/IF/IAY/2907827,19-05-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4488317 ,18145,0,18145,0,10-10-2019,18145,0,0,0,0  ,18145,
3214003009/IF/IAY/2907828,28-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5513493 ,19380,0,19380,0,10-10-2019,19380,0,0,0,0  ,19380,
3214003009/LD/321002040737324,05-07-2019,Land Leveling Of Adari Saren ,16920,3040,14940,540,19-06-2017,14940,0,540,0,0  ,15480,
3214003009/IF/IAY/2907817,19-05-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2907315 ,19380,0,18236,0,10-10-2019,18236,0,0,0,0  ,18236,
3214003009/LD/321002040737631,05-07-2019,Land Levelling Of Sufal Chandra Mahato ,16920,3040,18180,0,18-09-2017,18180,0,0,0,0  ,18180,
3214003009/IF/IAY/2907797,27-05-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4520645 ,19380,0,18578,0,10-10-2019,18578,0,0,0,0  ,18578,
3214003009/IF/IAY/2043039,16-01-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4514525 ,18145,0,17763,0,20-01-2018,17763,0,0,0,0  ,17763,
3214003009/IF/IAY/2907819,19-06-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1407750 ,19380,0,18652,0,10-10-2019,18652,0,0,0,0  ,18652,
3214003009/IF/IAY/1829698,01-10-2018,Construction of IAY House -IAY REG. NO. WB4056254 ,17100,0,16376,0,07-08-2017,16376,0,0,0,0  ,16376,
3214003009/IF/IAY/1829374,01-10-2018,Construction of IAY House -IAY REG. NO. WB2896912 ,17100,0,16853,0,21-07-2017,16853,0,0,0,0  ,16853,
3214003009/LD/321002040737423,05-07-2019,Land Leveling Of Pranab Kr.Hembram ,21600,3040,25380,810,19-06-2017,25380,0,810,0,0  ,26190,
3214003009/LD/321002040737504,05-07-2019,Land Levelling Of Ismail Ansary ,16920,3040,16200,432,16-06-2017,16200,0,432,0,0  ,16632,
3214003009/IF/IAY/2907829,20-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5161896 ,19380,0,18964,0,10-10-2019,18964,0,0,0,0  ,18964,
3214003009/IF/IAY/1829239,01-10-2018,Construction of IAY House -IAY REG. NO. WB4049574 ,17100,0,16552,0,07-08-2017,16552,0,0,0,0  ,16552,
3214003009/IF/IAY/1639903,01-10-2018,Construction of IAY House -IAY REG. NO. WB5707519 ,17100,0,17954,0,07-08-2017,17954,0,0,0,0  ,17954,
3214003009/IF/IAY/1829264,01-10-2018,Construction of IAY House -IAY REG. NO. WB4031215 ,17100,0,16552,0,07-08-2017,16552,0,0,0,0  ,16552,
3214003009/IF/IAY/2907919,07-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1269815 ,19380,0,19289,0,10-10-2019,19289,0,0,0,0  ,19289,
3214003009/IF/IAY/2041643,16-01-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4528597 ,18145,0,17763,0,20-01-2018,17763,0,0,0,0  ,17763,
3214003009/IF/IAY/1639531,01-10-2018,Construction of IAY House -IAY REG. NO. WB5674208 ,17100,0,16736,0,21-07-2017,16736,0,0,0,0  ,16736,
3214003009/LD/321002040737024,05-07-2019,Land Leveling Of Bineswar Hansda ,16920,3040,16200,540,19-06-2017,16200,0,540,0,0  ,16740,
3214003009/IF/IAY/1639624,01-10-2018,Construction of IAY House -IAY REG. NO. WB5682419 ,17100,0,17624,0,21-07-2017,17624,0,0,0,0  ,17624,
3214003009/IF/IAY/2449399,29-08-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4200231 ,18145,0,12224,0,30-01-2018,12224,0,0,0,0  ,12224,
3214003009/IF/IAY/1640664,16-01-2019,Construction of IAY House -IAY REG. NO. WB5768216 ,17100,0,15384,0,07-08-2017,15384,0,0,0,0  ,15384,
3214003009/IF/IAY/2449396,13-05-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4228257 ,18145,0,8595,0,20-01-2018,8595,0,0,0,0  ,8595,
3214003009/IF/IAY/2449400,15-05-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5746161 ,18145,0,12033,0,20-01-2018,12033,0,0,0,0  ,12033,
3214003009/IF/IAY/2483888,13-09-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1414466 ,18145,0,5730,0,20-01-2018,5730,0,0,0,0  ,5730,
3214003009/IF/IAY/2449397,03-07-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4055893 ,18145,0,16617,0,20-01-2018,16617,0,0,0,0  ,16617,
3214003009/IF/IAY/1639824,01-10-2018,Construction of IAY House -IAY REG. NO. WB5699051 ,17100,0,16552,0,21-07-2017,16552,0,0,0,0  ,16552,
3214003009/IF/IAY/2449316,03-07-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5728289 ,18145,0,17190,0,20-01-2018,17190,0,0,0,0  ,17190,
3214003009/IF/IAY/1639843,01-10-2018,Construction of IAY House -IAY REG. NO. WB5702000 ,17100,0,17881,0,21-07-2017,17881,0,0,0,0  ,17881,
3214003009/IF/IAY/2449312,07-01-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4447585 ,18145,0,17572,0,20-01-2018,17572,0,0,0,0  ,17572,
3214003009/IF/IAY/2449392,04-09-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5746147 ,18145,0,17954,0,20-01-2018,17954,0,0,0,0  ,17954,
3214003009/IF/IAY/2907793,18-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5610816 ,19380,0,18782,0,10-10-2019,18782,0,0,0,0  ,18782,
3214003009/IF/IAY/2907766,20-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5661083 ,19380,0,19172,0,10-10-2019,19172,0,0,0,0  ,19172,
3214003009/IF/IAY/2449308,13-05-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4063642 ,18145,0,5921,0,20-01-2018,5921,0,0,0,0  ,5921,
3214003009/IF/IAY/2907765,19-06-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1845864 ,19380,0,18548,0,10-10-2019,18548,0,0,0,0  ,18548,
3214003009/IF/IAY/2907764,19-06-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4336659 ,19380,0,18782,0,10-10-2019,18782,0,0,0,0  ,18782,
3214003009/IF/IAY/2907796,21-09-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4339450 ,19380,0,19172,0,10-10-2019,19172,0,0,0,0  ,19172,
3214003009/IF/IAY/2907752,19-05-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3687894 ,19380,0,18548,0,10-10-2019,18548,0,0,0,0  ,18548,
3214003009/IF/IAY/2907748,19-05-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4248158 ,19380,0,18184,0,10-10-2019,18184,0,0,0,0  ,18184,
3214003009/IF/IAY/2907747,19-05-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4269647 ,19380,0,18184,0,10-10-2019,18184,0,0,0,0  ,18184,
3214003009/IF/IAY/1829190,01-10-2018,Construction of IAY House -IAY REG. NO. WB3344594 ,17100,0,16552,0,07-08-2017,16552,0,0,0,0  ,16552,
3214003009/IF/IAY/2449393,25-09-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5641327 ,18145,0,17572,0,20-01-2018,17572,0,0,0,0  ,17572,
3214003009/IF/IAY/2907757,19-05-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4397169 ,19380,0,18574,0,10-10-2019,18574,0,0,0,0  ,18574,
3214003009/IF/IAY/2907737,19-05-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5608070 ,19380,0,18184,0,10-10-2019,18184,0,0,0,0  ,18184,
3214003009/IF/IAY/1639414,01-10-2018,Construction of IAY House -IAY REG. NO. WB5663598 ,17100,0,17074,0,21-07-2017,17074,0,0,0,0  ,17074,
3214003009/IF/IAY/2449298,13-05-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3993814 ,18145,0,8595,0,20-01-2018,8595,0,0,0,0  ,8595,
3214003009/IF/IAY/2449311,25-09-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5610853 ,18145,0,17954,0,30-01-2018,17954,0,0,0,0  ,17954,
3214003009/IF/IAY/2448372,05-07-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1641169 ,18145,0,11842,0,20-01-2018,11842,0,0,0,0  ,11842,
3214003009/IF/IAY/2448365,15-05-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4031177 ,18145,0,14516,0,20-01-2018,14516,0,0,0,0  ,14516,
3214003009/IF/IAY/2448370,04-09-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3993659 ,18145,0,17954,0,20-01-2018,17954,0,0,0,0  ,17954,
3214003009/IF/IAY/2448362,04-09-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4614204 ,18145,0,17572,0,20-01-2018,17572,0,0,0,0  ,17572,
3214003009/IF/IAY/2449242,03-07-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2713437 ,18145,0,17954,0,20-01-2018,17954,0,0,0,0  ,17954,
3214003009/IF/IAY/1639431,01-10-2018,Construction of IAY House -IAY REG. NO. WB5665078 ,17100,0,17624,0,21-07-2017,17624,0,0,0,0  ,17624,
3214003009/IF/IAY/1639490,01-10-2018,Construction of IAY House -IAY REG. NO. WB5670194 ,17100,0,17096,0,21-07-2017,17096,0,0,0,0  ,17096,
3214003009/IF/IAY/2448361,03-07-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1536789 ,18145,0,16808,0,30-01-2018,16808,0,0,0,0  ,16808,
3214003009/IF/IAY/2448357,28-09-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5675288 ,18145,0,12797,0,20-01-2018,12797,0,0,0,0  ,12797,
3214003009/IF/IAY/2449301,13-05-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3217469 ,18145,0,5921,0,20-01-2018,5921,0,0,0,0  ,5921,
3214003009/IF/IAY/2448366,13-05-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3147910 ,18145,0,5921,0,20-01-2018,5921,0,0,0,0  ,5921,
3214003009/IF/IAY/2907730,08-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4359739 ,19380,0,18600,0,10-10-2019,18600,0,0,0,0  ,18600,
3214003009/IF/IAY/2907724,08-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4443788 ,19380,0,18964,0,10-10-2019,18964,0,0,0,0  ,18964,
3214003009/IF/IAY/1639489,01-10-2018,Construction of IAY House -IAY REG. NO. WB5670174 ,17100,0,17206,0,21-07-2017,17206,0,0,0,0  ,17206,
3214003009/IF/IAY/1639233,01-10-2018,Construction of IAY House -IAY REG. NO. WB5649022 ,17100,0,17624,0,21-07-2017,17624,0,0,0,0  ,17624,
3214003009/IF/IAY/1639291,01-10-2018,Construction of IAY House -IAY REG. NO. WB5653339 ,17100,0,17624,0,07-08-2017,17624,0,0,0,0  ,17624,
3214003009/IF/IAY/1639257,01-10-2018,Construction of IAY House -IAY REG. NO. WB5650841 ,17100,0,17624,0,07-08-2017,17624,0,0,0,0  ,17624,
3214003009/IF/IAY/1639258,01-10-2018,Construction of IAY House -IAY REG. NO. WB5650852 ,17100,0,17558,0,21-07-2017,17558,0,0,0,0  ,17558,
3214003009/IF/IAY/2448132,15-05-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5746169 ,18145,0,14516,0,20-01-2018,14516,0,0,0,0  ,14516,
3214003009/IF/IAY/2449395,03-07-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3993710 ,18145,0,17190,0,20-01-2018,17190,0,0,0,0  ,17190,
3214003009/IF/IAY/2448133,25-09-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4571306 ,18145,0,17954,0,20-01-2018,17954,0,0,0,0  ,17954,
3214003009/IF/IAY/1638842,01-10-2018,Construction of IAY House -IAY REG. NO. WB5618674 ,17100,0,17220,0,07-08-2017,17220,0,0,0,0  ,17220,
3214003009/IF/IAY/1638393,01-10-2018,Construction of IAY House -IAY REG. NO. WB5582854 ,17100,0,17268,0,27-07-2017,17268,0,0,0,0  ,17268,
3214003009/IF/IAY/1637138,01-10-2018,Construction of IAY House -IAY REG. NO. WB5485742 ,17100,0,17793,0,21-07-2017,17793,0,0,0,0  ,17793,
3214003009/IF/IAY/1637910,16-01-2019,Construction of IAY House -IAY REG. NO. WB5546841 ,17100,0,15280,0,27-07-2017,15280,0,0,0,0  ,15280,
3214003009/IF/IAY/1639127,01-10-2018,Construction of IAY House -IAY REG. NO. WB5642698 ,17100,0,17624,0,21-07-2017,17624,0,0,0,0  ,17624,
3214003009/IF/IAY/2448358,13-05-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5745750 ,18145,0,8595,0,20-01-2018,8595,0,0,0,0  ,8595,
3214003009/IF/IAY/1637043,01-10-2018,Construction of IAY House -IAY REG. NO. WB5475954 ,17100,0,16552,0,21-07-2017,16552,0,0,0,0  ,16552,
3214003009/IF/IAY/1638749,01-10-2018,Construction of IAY House -IAY REG. NO. WB5610176 ,17100,0,17624,0,07-08-2017,17624,0,0,0,0  ,17624,
3214003009/IF/IAY/1639227,01-10-2018,Construction of IAY House -IAY REG. NO. WB5648765 ,17100,0,16853,0,21-07-2017,16853,0,0,0,0  ,16853,
3214003009/IF/IAY/1636871,01-10-2018,Construction of IAY House -IAY REG. NO. WB5464419 ,17100,0,16853,0,21-07-2017,16853,0,0,0,0  ,16853,
3214003009/IF/IAY/1638294,01-10-2018,Construction of IAY House -IAY REG. NO. WB5573944 ,17100,0,16912,0,21-07-2017,16912,0,0,0,0  ,16912,
3214003009/IF/IAY/2448130,04-09-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4875421 ,18145,0,17190,0,20-01-2018,17190,0,0,0,0  ,17190,
3214003009/IF/IAY/2448125,04-09-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4192037 ,18145,0,17572,0,20-01-2018,17572,0,0,0,0  ,17572,
3214003009/IF/IAY/1638184,01-10-2018,Construction of IAY House -IAY REG. NO. WB5566330 ,17100,0,17268,0,21-07-2017,17268,0,0,0,0  ,17268,
3214003009/IF/IAY/2448117,13-05-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3319051 ,18145,0,8595,0,20-01-2018,8595,0,0,0,0  ,8595,
3214003009/IF/IAY/1638810,01-10-2018,Construction of IAY House -IAY REG. NO. WB5616412 ,17100,0,16853,0,21-07-2017,16853,0,0,0,0  ,16853,
3214003009/IF/IAY/2907715,19-06-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5719787 ,19380,0,19146,0,10-10-2019,19146,0,0,0,0  ,19146,
3214003009/IF/IAY/2448118,04-07-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4320130 ,18145,0,17572,0,30-01-2018,17572,0,0,0,0  ,17572,
3214003009/IF/IAY/2907706,19-05-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5487058 ,18145,0,18145,0,10-10-2019,18145,0,0,0,0  ,18145,
3214003009/IF/IAY/2907718,13-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2839551 ,18145,0,17905,0,10-10-2019,17905,0,0,0,0  ,17905,
3214003009/IF/IAY/2448123,13-05-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1329436 ,18145,0,8595,0,20-01-2018,8595,0,0,0,0  ,8595,
3214003009/IF/IAY/2448129,13-09-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3926550 ,18145,0,3056,0,28-01-2018,3056,0,0,0,0  ,3056,
3214003009/IF/IAY/2448124,25-12-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3341471 ,18145,0,11842,0,20-01-2018,11842,0,0,0,0  ,11842,
3214003009/IF/IAY/2907690,19-05-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5669555 ,19380,0,18392,0,10-10-2019,18392,0,0,0,0  ,18392,
3214003009/IF/IAY/2907687,20-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2050591 ,19380,0,18964,0,10-10-2019,18964,0,0,0,0  ,18964,
3214003009/IF/IAY/1636449,01-10-2018,Construction of IAY House -IAY REG. NO. WB5433470 ,17100,0,16662,0,21-07-2017,16662,0,0,0,0  ,16662,
3214003009/IF/IAY/2907670,27-05-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4452363 ,19380,0,18782,0,10-10-2019,18782,0,0,0,0  ,18782,
3214003009/IF/IAY/1635521,01-10-2018,Construction of IAY House -IAY REG. NO. WB5380328 ,17100,0,17624,0,21-07-2017,17624,0,0,0,0  ,17624,
3214003009/IF/IAY/1632741,01-10-2018,Construction of IAY House -IAY REG. NO. WB4336494 ,17100,0,16853,0,07-08-2017,16853,0,0,0,0  ,16853,
3214003009/IF/IAY/2448115,13-05-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1673351 ,18145,0,8595,0,20-01-2018,8595,0,0,0,0  ,8595,
3214003009/IF/IAY/2352761,26-08-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5426604 ,18145,0,17190,0,20-01-2018,17190,0,0,0,0  ,17190,
3214003009/IF/IAY/1636504,01-10-2018,Construction of IAY House -IAY REG. NO. WB5436573 ,17100,0,17602,0,07-08-2017,17602,0,0,0,0  ,17602,
3214003009/IF/IAY/2351814,09-12-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3973479 ,18145,0,14516,0,28-01-2018,14516,0,0,0,0  ,14516,
3214003009/IF/IAY/2351646,02-08-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3760981 ,18145,0,11842,0,20-01-2018,11842,0,0,0,0  ,11842,
3214003009/IF/IAY/2351935,25-09-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4214313 ,18145,0,16808,0,20-01-2018,16808,0,0,0,0  ,16808,
3214003009/IF/IAY/1635546,01-10-2018,Construction of IAY House -IAY REG. NO. WB5381837 ,17100,0,17969,0,07-08-2017,17969,0,0,0,0  ,17969,
