scheme_code,scheme_name,completion_date,estimated_cost,estimated_material,expenditure_wage,expenditure_material,sanctiondate,wage_expense,semiskilled_expense,skilled_expense,material_expense,contingency_expense,total_expense,mandays
3213010005/RS/34040989603,Const. of IHHL of Bali Bauri. ,03-09-2020,1760,9140,1760,1126,16-09-2016,1760,1126,0,0,0  ,2886,
3213010005/RS/34040989601,Const. of IHHL of Sova Bauri. ,03-09-2020,1760,9140,1760,1126,16-09-2016,1760,0,1126,0,0  ,2886,
3213010005/RS/34040989600,Const. of IHHL of Ajit Porel. ,03-09-2020,1760,9140,1760,1126,16-09-2016,1760,1126,0,0,0  ,2886,
3213010005/RS/34040989588,Const. of IHHL of Kartick Mallick. ,03-09-2020,1760,9140,1760,1126,16-09-2016,1760,1126,0,0,0  ,2886,
3213010005/RS/34040989607,Const. of IHHL of Gita Mete. ,03-09-2020,1760,9140,1760,1126,16-09-2016,1760,1126,0,0,0  ,2886,
3213010005/RS/34040989599,Const. of IHHL of Ruma Mete. ,03-09-2020,1760,9140,1760,1126,16-09-2016,1760,0,1126,0,0  ,2886,
3213010005/RS/34040989604,Const. of IHHL of Latika Karmakar. ,03-09-2020,1760,9140,1760,1126,16-09-2016,1760,1126,0,0,0  ,2886,
3213010005/RC/320201060446390,Concrete Road from Biur Talarpara Tematha to Sub Centre   ,15-07-2020,29987,379646,29987,377326.3219,08-02-2019,29987,25976,1146,350204.3219,0  ,407313.3219,
3213010005/RC/320201060492504,UPGRADATION OF CONCRETE ROAD FROM TAJCHAK TEMATHA TO BANKURA ROY TALA ,28-08-2020,202651,1455916,182971,1428368.138,08-02-2019,182971,88624,26644.5,1313099.638,0  ,1611339.138,
3213010005/RC/320201060446391,Concrete Road from  Betur Saro Pukur Tematha to Majhpara ,15-07-2020,30751,388975,30560,383242.5413,08-02-2019,30560,26740,1146,355356.5413,0  ,413802.5413,
3213010005/IF/IAY/3367698,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4879639 ,29-10-2020,18145,0,18145,0,26-02-2020,18145,0,0,0,0  ,18145,
3213010005/RC/320201060446384,Concrete Road from Bartala More to Baro Pukur ,15-07-2020,29987,379646,29987,378314.8144,08-02-2019,29987,25976,1146,351192.8144,0  ,408301.8144,
3213010005/RC/320201060446368,Concrete Road from Naldanga Pitch Road to Alaus Para ,28-01-2021,29987,379646,20819,291812.705,08-02-2019,20819,20628,573,270611.705,0  ,312631.705,
3213010005/RS/34040985949,Const. of IHHL of Sk Manjula ,03-09-2020,1760,9140,1760,1126,18-08-2016,1760,0,1126,0,0  ,2886,
3213010005/RC/320201060446364,Concrete Road from Chamdhuani Par to Hedo Pukur Par ,15-07-2020,30751,388975,30751,383242.5413,08-02-2019,30751,26740,1146,355356.5413,0  ,413993.5413,
3213010005/RS/34040989592,Const. of IHHL of Anadi Nandi. ,03-09-2020,1760,9140,1760,1126,16-09-2016,1760,0,1126,0,0  ,2886,
3213010005/RS/34040989606,Const. of IHHL of Puspa Bagdi. ,03-09-2020,1760,9140,1760,1126,16-09-2016,1760,1126,0,0,0  ,2886,
3213010005/RC/320201060446376,Concrete Road from Patit Samabay Samity to Melatala ,15-07-2020,29987,379646,29987,376309.9585,08-02-2019,29987,25976,1146,349187.9585,0  ,406296.9585,
3213010005/LD/321002040796094,Land Levelling at Bartala Kabarstan ,07-07-2020,289080,14127,171248,6411,19-03-2018,171248,0,6411,0,0  ,177659,
3213010005/RC/320201060446356,Concrete Road from Bhutura Swapan Ghosh Shop to Durgatala ,07-07-2020,30751,388975,30560,383103.6888,08-02-2019,30560,26740,1146,355217.6888,0  ,413663.6888,
3213010005/IF/IAY/4025170,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3899651 ,08-01-2021,19380,0,19380,0,07-06-2020,19380,0,0,0,0  ,19380,
3213010005/IF/IAY/4025173,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5633647 ,02-02-2021,19380,0,19380,0,07-06-2020,19380,0,0,0,0  ,19380,
3213010005/LD/321002040791836,Land Levelling at Betur Rani Gore Samsan. ,07-07-2020,218880,9807,163817,9136,22-02-2018,163817,0,6136,3000,0  ,172953,
3213010005/IF/IAY/4025175,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5484553 ,19-03-2021,19380,0,19176,0,07-06-2020,19176,0,0,0,0  ,19176,
3213010005/IF/IAY/4025155,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1603413 ,18-03-2021,19380,0,19380,0,07-06-2020,19380,0,0,0,0  ,19380,
3213010005/IF/IAY/4025168,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5071931 ,02-02-2021,19380,0,19380,0,07-06-2020,19380,0,0,0,0  ,19380,
3213010005/IF/IAY/4025150,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4969864 ,15-03-2021,19380,0,19380,0,07-06-2020,19380,0,0,0,0  ,19380,
3213010005/RC/320201060446374,Concrete Road from Patit Mayrakuli to Anirban Karak House ,15-07-2020,29987,379646,29987,377326.3219,08-02-2019,29987,21392,5730,350204.3219,0  ,407313.3219,
3213010005/LD/321002040804138,Land Development at Telur Purbo Para Kabardanga ,15-07-2020,207999,11049,198827,10287,11-06-2018,198827,2221,5066,3000,0  ,209114,
3213010005/IF/IAY/4025146,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4213113 ,15-03-2021,19380,0,19380,0,07-06-2020,19380,0,0,0,0  ,19380,
3213010005/IF/IAY/4025144,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3281149 ,15-03-2021,19380,0,19380,0,07-06-2020,19380,0,0,0,0  ,19380,
3213010005/IF/IAY/4025154,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3205218 ,18-03-2021,19380,0,19380,0,07-06-2020,19380,0,0,0,0  ,19380,
3213010005/IF/IAY/4024040,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5547263 ,02-02-2021,19380,0,19380,0,07-06-2020,19380,0,0,0,0  ,19380,
3213010005/IF/IAY/3760569,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5150834 ,08-01-2021,19380,0,19380,0,26-02-2020,19380,0,0,0,0  ,19380,
3213010005/IF/IAY/3760568,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1635377 ,02-02-2021,19380,0,19380,0,12-03-2020,19380,0,0,0,0  ,19380,
3213010005/IF/IAY/3753341,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4788894 ,29-10-2020,19380,0,19380,0,26-02-2020,19380,0,0,0,0  ,19380,
3213010005/RC/320201060446372,Concrete Road from Biur Main Road Syedpur Majar  ,15-07-2020,29987,379646,29987,377326.3219,08-02-2019,29987,25976,1146,350204.3219,0  ,407313.3219,
3213010005/IF/IAY/4025148,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2702533 ,15-03-2021,19380,0,19380,0,07-06-2020,19380,0,0,0,0  ,19380,
3213010005/IF/IAY/3716685,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1987027 ,02-02-2021,19380,0,19380,0,26-02-2020,19380,0,0,0,0  ,19380,
3213010005/IF/IAY/3739278,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4433524 ,14-12-2020,19380,0,19302,0,30-03-2020,19302,0,0,0,0  ,19302,
3213010005/IF/IAY/3716682,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4066307 ,29-10-2020,19380,0,19380,0,12-03-2020,19380,0,0,0,0  ,19380,
3213010005/IF/IAY/4025163,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2326574 ,03-03-2021,19380,0,19380,0,23-06-2020,19380,0,0,0,0  ,19380,
3213010005/IF/IAY/4025143,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5662249 ,02-02-2021,19380,0,19380,0,07-06-2020,19380,0,0,0,0  ,19380,
3213010005/IF/IAY/3716680,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5116689 ,29-10-2020,19380,0,19380,0,12-03-2020,19380,0,0,0,0  ,19380,
3213010005/IF/IAY/3716679,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2525718 ,15-03-2021,19380,0,19380,0,26-02-2020,19380,0,0,0,0  ,19380,
3213010005/IF/IAY/3739281,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4890825 ,15-03-2021,19380,0,19380,0,26-02-2020,19380,0,0,0,0  ,19380,
3213010005/IF/IAY/3716684,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5289628 ,02-02-2021,19380,0,19380,0,26-02-2020,19380,0,0,0,0  ,19380,
3213010005/IF/IAY/4025138,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4433445 ,08-01-2021,19380,0,19380,0,07-06-2020,19380,0,0,0,0  ,19380,
3213010005/IF/IAY/3716673,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4471518 ,02-02-2021,19380,0,19380,0,12-03-2020,19380,0,0,0,0  ,19380,
3213010005/IF/IAY/3716674,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4659999 ,15-02-2021,19380,0,19146,0,12-03-2020,19146,0,0,0,0  ,19146,
3213010005/IF/IAY/3716672,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1424760 ,03-03-2021,19380,0,19380,0,12-03-2020,19380,0,0,0,0  ,19380,
