scheme_code,scheme_name,completion_date,estimated_cost,estimated_material,expenditure_wage,expenditure_material,sanctiondate,wage_expense,semiskilled_expense,skilled_expense,material_expense,contingency_expense,total_expense,mandays
(3216011003/IF/IAY/4675213),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2078363 ,19/02/2022 ,18360 ,0 ,18105 ,0 ,05/08/2020,18105,0,0,0,0  ,18105,
(3216011003/IF/IAY/4675212),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4399888 ,21/03/2022 ,18360 ,0 ,3195 ,0 ,29/05/2020,3195,0,0,0,0  ,3195,
(3216011003/IF/IAY/4675211),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2951353 ,21/03/2022 ,18360 ,0 ,2130 ,0 ,15/05/2020,2130,0,0,0,0  ,2130,
(3216011003/IF/PP/125953),1   62  Block Plantation-Hort-Trees in fields-Individuals OF Surath Naskar ,21/07/2021 ,13162.1 ,10439.48 ,12797 ,0 ,07/08/2019,12797,0,0,0,0  ,12797,
(3216011003/IF/IAY/4674029),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3888936 ,19/02/2022 ,18360 ,0 ,14910 ,0 ,31/12/2020,14910,0,0,0,0  ,14910,
(3216011003/IF/IAY/4673810),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4992003 ,21/03/2022 ,18360 ,0 ,8520 ,0 ,28/12/2020,8520,0,0,0,0  ,8520,
(3216011003/IF/IAY/4673808),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4743085 ,08/08/2021 ,18360 ,0 ,6390 ,0 ,28/12/2020,6390,0,0,0,0  ,6390,
(3216011003/IF/IAY/4673806),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4148791 ,20/03/2022 ,18360 ,0 ,9585 ,0 ,28/12/2020,9585,0,0,0,0  ,9585,
(3216011003/IF/IAY/4673807),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4179528 ,21/03/2022 ,18360 ,0 ,6390 ,0 ,28/12/2020,6390,0,0,0,0  ,6390,
(3216011003/IF/IAY/4673805),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3929842 ,20/03/2022 ,18360 ,0 ,9585 ,0 ,28/12/2020,9585,0,0,0,0  ,9585,
(3216011003/IF/IAY/4673809),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4953359 ,15/09/2021 ,18360 ,0 ,9585 ,0 ,28/12/2020,9585,0,0,0,0  ,9585,
(3216011003/IF/IAY/4673802),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3875471 ,20/03/2022 ,18360 ,0 ,9585 ,0 ,28/12/2020,9585,0,0,0,0  ,9585,
(3216011003/IF/IAY/4673691),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3870927 ,20/03/2022 ,18360 ,0 ,6390 ,0 ,28/12/2020,6390,0,0,0,0  ,6390,
(3216011003/IF/IAY/4673803),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3883574 ,20/03/2022 ,18360 ,0 ,6390 ,0 ,28/12/2020,6390,0,0,0,0  ,6390,
(3216011003/IF/IAY/4673687),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3209523 ,20/03/2022 ,18360 ,0 ,7455 ,0 ,28/12/2020,7455,0,0,0,0  ,7455,
(3216011003/IF/IAY/4673688),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3494116 ,15/10/2021 ,18360 ,0 ,15762 ,0 ,28/12/2020,15762,0,0,0,0  ,15762,
(3216011003/IF/IAY/4673686),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3167010 ,21/03/2022 ,18360 ,0 ,11715 ,0 ,28/12/2020,11715,0,0,0,0  ,11715,
(3216011003/IF/IAY/4673685),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2628751 ,21/03/2022 ,18360 ,0 ,10650 ,0 ,28/12/2020,10650,0,0,0,0  ,10650,
(3216011003/IF/IAY/4673684),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2624116 ,15/10/2021 ,18360 ,0 ,12780 ,0 ,28/12/2020,12780,0,0,0,0  ,12780,
(3216011003/IF/IAY/4673682),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2172672 ,21/03/2022 ,18360 ,0 ,11715 ,0 ,28/12/2020,11715,0,0,0,0  ,11715,
(3216011003/IF/IAY/4673681),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1979084 ,21/03/2022 ,18360 ,0 ,9585 ,0 ,28/12/2020,9585,0,0,0,0  ,9585,
(3216011003/IF/IAY/4673679),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1145404 ,21/03/2022 ,18360 ,0 ,9585 ,0 ,28/12/2020,9585,0,0,0,0  ,9585,
(3216011003/IF/IAY/4673666),Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2940071 ,21/03/2022 ,18360 ,0 ,14910 ,0 ,13/08/2020,14910,0,0,0,0  ,14910,
